official_code,script_code,origin,card_type
74131780,74131780,authored_200,33
74677422,,authored_200,17
74701381,74701381,authored_200,131076
75190122,75190122,legacy_presentation,65538
77585513,77585513,authored_200,33
77754944,77754944,legacy_presentation,4
77827521,,authored_200,17
78010363,78010363,authored_200,33
78193831,78193831,authored_200,33
78658564,78658564,authored_200,33
78706415,78706415,authored_200,2097185
79571449,79571449,authored_200,2
79814787,79814787,authored_200,4129
80088625,80088625,legacy_presentation,67108897
80326401,80326401,legacy_presentation,2
80770678,,authored_200,17
82732705,82732705,authored_200,131076
83011278,83011277,legacy_presentation,33
83225447,83225447,authored_200,262146
83555666,83555666,legacy_presentation,4
83746708,83746708,authored_200,262146
83764719,83764718,authored_200,2
84013237,84013237,authored_200,8388641
84290642,84290642,authored_200,33
84749824,84749824,authored_200,1048580
85059922,85059922,authored_200,97
85087012,85087012,authored_200,33
85442146,85442146,legacy_presentation,1048580
85551711,85551711,authored_200,8388641
85651167,85651167,authored_200,33
86331741,86331741,legacy_presentation,8388641
88177324,88177324,legacy_presentation,8388641
88240808,88240808,legacy_presentation,33
88241506,88241506,authored_200,4129
89112729,89112729,authored_200,65
89604813,89604813,legacy_presentation,8225
89631139,,authored_200,17
91152256,,authored_200,17
92353449,92353449,authored_200,2
93437091,93437091,legacy_presentation,2
93889755,93889755,authored_200,33
93920745,93920745,authored_200,2097185
93969023,93969023,authored_200,33
94145021,94145021,authored_200,33
94192409,94192409,authored_200,4
94259633,94259633,legacy_presentation,67108897
94773007,94773007,authored_200,33
94905343,94905343,authored_200,65
95477924,95477924,legacy_presentation,524290
95952802,95952802,authored_200,65
96471335,96471335,authored_200,8388641
96561011,96561011,legacy_presentation,33554465
96729612,96729612,legacy_presentation,2
97077563,97077563,authored_200,131076
97268402,97268402,authored_200,4129
97631303,97631303,authored_200,33
98252586,98252586,authored_200,262146
98495314,98495314,authored_200,262146
98502113,98502113,legacy_presentation,97
10000020,10000020,yugi_muto_battle_city,33
99785935,,yugi_muto_battle_city,17
39256679,,yugi_muto_battle_city,17
11549357,,yugi_muto_battle_city,17
90876561,,yugi_muto_battle_city,17
25652259,,yugi_muto_battle_city,17
05818798,,yugi_muto_battle_city,17
41392891,,yugi_muto_battle_city,17
90357090,,yugi_muto_battle_city,17
75347539,75347539,yugi_muto_battle_city,33554465
64788463,64788463,yugi_muto_battle_city,33
77207191,77207191,yugi_muto_battle_city,33
65240384,65240384,yugi_muto_battle_city,33
34124316,34124316,yugi_muto_battle_city,2097185
50287060,50287060,yugi_muto_battle_city,33
34710660,34710660,yugi_muto_battle_city,33
87910978,87910978,yugi_muto_battle_city,2
05556668,5556668,yugi_muto_battle_city,2
81510157,81510157,yugi_muto_battle_city,2
24096228,24096228,yugi_muto_battle_city,2
72892473,72892473,yugi_muto_battle_city,2
49587034,49587034,yugi_muto_battle_city,4
77414722,77414722,yugi_muto_battle_city,1048580
37383714,37383714,yugi_muto_battle_city,4
03819470,3819470,yugi_muto_battle_city,1048580
18807109,18807108,yugi_muto_battle_city,131076
60082869,60082869,yugi_muto_battle_city,4
04796100,4796100,yugi_muto_battle_city,97
19771459,19771459,casual_pdf_war_rock,33
47504322,47504322,casual_pdf_war_rock,33
83286340,83286340,casual_pdf_war_rock,33
45536531,45536531,ygoprodeck_toon_test,33
07293697,7293697,ygoprodeck_toon_test,524290
91500017,91500017,ygoprodeck_toon_test,2
89997728,89997728,ygoprodeck_toon_test,2
08915275,8915275,ygoprodeck_toon_test,33
72921536,72921536,ygoprodeck_toon_test,33
53183600,53183600,ygoprodeck_toon_test,37748769
21296502,21296502,ygoprodeck_toon_test,4194337
65458948,65458948,ygoprodeck_toon_test,37748769
34314989,34314989,ygoprodeck_toon_test,33
40366667,40366667,ygoprodeck_toon_test,4
65681983,65681983,ygoprodeck_toon_test,65538
34298391,34298391,ygoprodeck_toon_test,131076
78114463,78114463,ygoprodeck_toon_test,1048580
53094821,53094821,ygoprodeck_toon_test,1048580
06325660,6325660,ygoprodeck_toon_test,4
46565218,46565218,ygoprodeck_toon_test,33
05832914,5832914,ygoprodeck_toon_test,4
71808988,71808988,ygoprodeck_toon_test,4194401
66011101,66011101,ygoprodeck_toon_test,8388641
50277355,50277355,ygoprodeck_toon_test,67108897
53904087,53904087,ygoprodeck_toon_test,67108897
27519978,27519978,ygoprodeck_toon_test,67108897
24842059,24842059,ygoprodeck_toon_test,67108897
58036229,58036229,ygoprodeck_toon_test,67108897
05043010,5043010,ygoprodeck_toon_test,67108897
45112597,45112597,ygoprodeck_toon_test,67108897
07594154,7594154,ygoprodeck_toon_test,67108897
92422871,92422871,ygoprodeck_toon_test,97
13203964,13203964,ygoprodeck_toon_test,67108897
59400890,59400890,ygoprodeck_toon_test,97
03486020,3486020,ygoprodeck_shiranui_supremacy,8225
04103668,4103668,ygoprodeck_shiranui_supremacy,8225
05177985,5177985,ygoprodeck_shiranui_supremacy,33
05325155,5325155,ygoprodeck_shiranui_supremacy,4129
12612470,12612470,ygoprodeck_shiranui_supremacy,4129
23116808,23116808,ygoprodeck_shiranui_supremacy,33
26326541,26326541,ygoprodeck_shiranui_supremacy,8225
27198001,27198001,ygoprodeck_shiranui_supremacy,33
30607616,30607616,ygoprodeck_shiranui_supremacy,8225
30888983,30888983,ygoprodeck_shiranui_supremacy,1048580
32120116,32120116,ygoprodeck_shiranui_supremacy,4
33420078,33420078,ygoprodeck_shiranui_supremacy,4129
39753577,39753577,ygoprodeck_shiranui_supremacy,4
40364916,40364916,ygoprodeck_shiranui_supremacy,131074
41562624,41562624,ygoprodeck_shiranui_supremacy,33
41867019,41867019,ygoprodeck_shiranui_supremacy,131076
52467217,52467217,ygoprodeck_shiranui_supremacy,33
52615248,52615248,ygoprodeck_shiranui_supremacy,67108897
